Custom Visual,Publisher,Description,Version,LegalTerms,PrivacyPolicyUrl,SupportLink,Release Date,AppSource Link,Is Certified,Versioned pbiviz,Visual GUID
Org Chart Drag and Drop,WorkforceVision LTD,Visualise your organization structure through a customisable drag and drop Organization Chart,1.2.3.2,https://workforcevision.powerappsportals.com/license/,https://workforcevision.powerappsportals.com/privacy/,https://workforcevision.powerappsportals.com/Support-and-Help/,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/workforcevision.org-chart-drag-and-drop,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/orgChart021B261450284A21B688B59A7342AC52.1.2.3.2.pbiviz,orgChart021B261450284A21B688B59A7342AC52
PowerGantt Chart,Nova Silva,Powerful insight into your planning and milestone performance,2.6.1.0,https://visuals.novasilva.com/eula/,https://visuals.novasilva.com/privacy-policy-custom-visuals/,https://visuals.novasilva.com/knowledge-base/category/kb-power-gantt-chart/,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/novasilvagroupbv1626174611009.powerganttchart,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/powerGANTTchart76BDD9F52FA14ADEB68823A07759D182.2.6.1.0.pbiviz,powerGANTTchart76BDD9F52FA14ADEB68823A07759D182
Drill Down Pie PRO (Pin) by ZoomCharts,ZoomCharts,"Enjoy interactive drilldowns, user friendly navigation and beautiful design.",1.12.16.0,https://zoomcharts.com/en/legal-pbi/,https://zoomcharts.com/en/privacy-powerbi/,https://zoomcharts.com/en/microsoft-power-bi-custom-visuals/documentation/drill-down-pie-visual/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/32204330.drilldownpiepinbyzoomcharts,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/ZoomChartsDrillDownPiePin44BB3B013FB049ABB7E8DDAA6A478B1B.1.12.16.0.pbiviz,ZoomChartsDrillDownPiePin44BB3B013FB049ABB7E8DDAA6A478B1B
Drill Down Timeline PRO (Filter) by ZoomCharts,ZoomCharts,"Explore time-based data using columns or measures and multiple chart types: line, column, area.",1.12.29.0,https://zoomcharts.com/en/legal-pbi/,https://zoomcharts.com/downloads/privacy-policy-pbi.pdf,https://zoomcharts.com/en/microsoft-power-bi-custom-visuals/documentation/advanced-timeseries-visual/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/32204330.drilldowntimelineprobyzoomcharts,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/ZoomChartsDrillDownTimelinePro7F6C01BA1C534E9AB4A6BCCB44F591D6.1.12.29.0.pbiviz,ZoomChartsDrillDownTimelinePro7F6C01BA1C534E9AB4A6BCCB44F591D6
Enlighten Aquarium,ENLIGHTEN DESIGNS,Make dashboards fun with this award-winning Aquarium visualization,4.0.6.1,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.enlighten.co.nz/Enlighten%20Aquarium%20Privacy%20Statement,https://www.enlighten.co.nz/contact,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381112,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/Aquarium1442671919391.4.0.6.1.pbiviz,Aquarium1442671919391
Inforiver Super Filter,xViz LLC dba Lumel,"Calendar Date Picker, Heatmap, Hierarchy, Facet Slicer Panel, Wildcard Search, Presets, Fiscal year",2.0.0.0,https://inforiver.com/wp-content/uploads/inforiver-super-filter-end-user-license-agreement.pdf,https://inforiver.com/privacy-policy/,https://community.inforiver.com/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/xviz.inforiver-superfilter,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69.2.0.0.0.pbiviz,InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69
Multi KPI Decomposition Tree,Convergent Business Technologies,"A custom decomposition tree, capable of presenting multiple values on each node",1.0.0.2,https://go.microsoft.com/fwlink/?linkid=2041178,https://convergentbt.com/privacy-policy,https://convergentbt.com/contact-us/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/convergentbusinesstechnologies1681574339335.cbt_mutikpi_decomtree_v01,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/customDecompositionTree32EC86E134064A70A4E440DB8E770C73.1.0.0.2.pbiviz,customDecompositionTree32EC86E134064A70A4E440DB8E770C73
Multilevel Matrix Xerppa,Gestión y Finanzas 365 SL,Es un visual de Power BI que ofrece personalización avanzada y manejo detallado de datos jerárquicos,3.0.2.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.xerppa.com/privacy/,https://www.xerppa.com/services/ticketing/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/xerppa.xerppamultilevelmatrix,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/xerppamultilevelmatrix.3.0.2.0.pbiviz,xerppamultilevelmatrix
Predictive Burndown,AWPBI,Visually represent remaining work over time with various automatic forecasting options.,1.0.0.4,https://go.microsoft.com/fwlink/?linkid=2041178,https://awpbi.com/privacy-policy/,https://awpbi.com/power-bi/predictive-burndown/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/awpbi.burndown,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/burndown462CE5C2666F4EC8A8BDD7E5587320A5.1.0.0.4.pbiviz,burndown462CE5C2666F4EC8A8BDD7E5587320A5
Stacked Vertical Funnel Chart (Pro),PBIVizEdit.com,Visualize flow of data across different stages with stacking based on sub-category in each stage.,5.2.1.1,https://go.microsoft.com/fwlink/?linkid=2041178,https://pbivizedit.com/privacy,https://pbivizedit.com/contact,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/yavdaanalyticspvtltd1628223732998.stackedverticalfunnelpro,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/stackedverticalfunnel14C79752A987146881818FBA3ED1018C.5.2.1.1.pbiviz,stackedverticalfunnel14C79752A987146881818FBA3ED1018C
Ultimate Sankey for Finance,dataviz.boutique GmbH,Transform financial statements into stunning Sankey diagrams.,1.1.0.5,https://go.microsoft.com/fwlink/?linkid=2041178,https://dataviz.boutique/2017/02/12/privacystatement/,https://dataviz.boutique/2017/02/22/kontakt/,12/17/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/datavizboutiquegmbh1631474046585.ultimate_sankey_for_finance,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/sankey35CACFA54D5C45EF9289D949AC2295C9.1.1.0.5.pbiviz,sankey35CACFA54D5C45EF9289D949AC2295C9
Arrow Bar,Viz Data Ltd,Beautiful visual that displays your categories as a flow of interlocking arrows,1.0.0.4,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/progress-bar,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.progress2,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/arrows_vizdataltd.1.0.0.4.pbiviz,arrows_vizdataltd
Dividers,Viz Data Ltd,Space-saving category filters styled like paper dividers,1.0.0.1,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/dividers,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.dividers,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/dividers_vizdataltd.1.0.0.1.pbiviz,dividers_vizdataltd
Filter Bar,Viz Data Ltd,A compact visual filter that replaces standard slicers with coloured rectangular bars,1.0.0.7,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/filter-bar,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.filterbar,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/filterbar_vizdataltd.1.0.0.7.pbiviz,filterbar_vizdataltd
Metro,Viz Data Ltd,"Transform complex distribution steps into a clear, metro-style map that can help reveal bottlenecks",1.0.0.6,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/tubemap,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.tubemap2,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/tubemap_vizdataltd.1.0.0.6.pbiviz,tubemap_vizdataltd
Status Tracker,Viz Data Ltd,"Beautiful visual, comparing status across your categories with traffic light system",1.0.0.8,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/status-bar,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.status2,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/status_vizdataltd.1.0.0.8.pbiviz,status_vizdataltd
TwoWriteBack,2BIT AG,2WriteBack Visual for Power BI: Seamless Data Entry and Writeback,3.0.4.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://cdn.2bitcloud.ch/2WriteBack/PrivacyPolicy_2WriteBack.pdf,https://2bit.ch/en/kontakt/,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/2bitgmbh.twowriteback,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/TwoWB25320C54F4184F8EA42E7B7D8A4A928F.3.0.4.0.pbiviz,TwoWB25320C54F4184F8EA42E7B7D8A4A928F
Warning Icon,Viz Data Ltd,"A conditional visual, which displays an icon when a number series reaches a certain level",1.0.0.7,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/warning,12/16/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.warning2,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/warning_vizdataltd.1.0.0.7.pbiviz,warning_vizdataltd
Box and Whisker chart,DataScenarios,"Visualize a dataset in an effective way as a five-number summary (mean, median, quartiles, min/max)",2.5.3.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://azurebi-docs.jppp.org/powerbi-visuals/privacy-terms.html,https://azurebi-docs.jppp.org/powerbi-visuals/box-and-whisker-chart.html,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104380831,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/BoxWhiskerChart1455240051538.2.5.3.0.pbiviz,BoxWhiskerChart1455240051538
Calendar by Tallan,"Tallan, Inc",A standard calendar layout that filters and aggregates data across a range of dates.,2.0.2.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.tallan.com/privacy-policy/,https://www.tallan.com/custom-technology/power-bi-support-services/,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381146,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/CalendarVisualA45056645E4E428B9D26EF971839A6B5.2.0.2.0.pbiviz,CalendarVisualA45056645E4E428B9D26EF971839A6B5
China Scatter Map,北京上北智信科技有限公司,"Reflect the national resource distribution, value contribution concentration, etc.",1.1.0.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.sharewinfo.com/privacy.html,https://www.sharewinfo.com/support.html,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381670,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/scatterFE43D2D02D3D4329995B15E94EDC9279.1.1.0.0.pbiviz,scatterFE43D2D02D3D4329995B15E94EDC9279
Enlighten Stack Shuffle,ENLIGHTEN DESIGNS,"Visually communicate data items in a beautiful, dynamic stack.",2.1.1.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.enlighten.co.nz/Enlighten%20Power%20BI%20Custom%20Visuals%20Privacy%20Statement,https://www.enlighten.co.nz/contact,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104380849,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/enlightenStackShuffle33EDB050C2424C618953642FFC0B291A.2.1.1.0.pbiviz,enlightenStackShuffle33EDB050C2424C618953642FFC0B291A
Enlighten World Flag Slicer,ENLIGHTEN DESIGNS,Create a visually compelling country slicer to filter your report.,2.1.1.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.enlighten.co.nz/Enlighten%20Power%20BI%20Custom%20Visuals%20Privacy%20Statement,https://www.enlighten.co.nz/contact,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104380923,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/enlightenWorldFlagsE887F52F76244B1C927F80CF9724AEF6.2.1.1.0.pbiviz,enlightenWorldFlagsE887F52F76244B1C927F80CF9724AEF6
Flying Brick Visual,"BALCONES SOFTWARE & SERVICES, LLC",Use this visual to create a Flying Brick chart (also known as Floating Brick or Waterfall chart).,1.0.5.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://balconesenterprises.com/products/flying-brick-custom-visual-for-power-bi/flying-brick-visual-for-power-bi-privacy-policy/,https://balconesenterprises.com/products/flying-brick-custom-visual-for-power-bi/,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200000112,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/bepbivisuaflyinbrick7C7753617B304283991BA05E2644857E.1.0.5.0.pbiviz,bepbivisuaflyinbrick7C7753617B304283991BA05E2644857E
Hexbin Scatterplot,David Eldersveld,Display scatterplot points on top of hexagon bins,1.1.0.1,https://go.microsoft.com/fwlink/?linkid=2041178,https://github.com/deldersveld/pbiHexbinScatterplot/blob/master/Privacy.md,https://deldersveld.github.io/powerbi/support/hexbin-scatterplot,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381492,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/hexbinScatter70A7F14565444FAA99F786FAD6EA5AE1.1.1.0.1.pbiviz,hexbinScatter70A7F14565444FAA99F786FAD6EA5AE1
HierarchySlicer,DataScenarios,Create a hierarchy of different fields and use it as a slicer with Power BI.,2.2.2.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://azurebi-docs.jppp.org/powerbi-visuals/privacy-terms.html,https://azurebi-docs.jppp.org/powerbi-visuals/hierarchy-slicer.html,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104380820,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/HierarchySlicer1458836712039.2.2.2.0.pbiviz,HierarchySlicer1458836712039
Inforiver Reporting Matrix,xViz LLC dba Lumel,"The most comprehensive matrix for Financial, Management, Variance, Paginated & IBCS reporting",3.3.1.0,https://inforiver.com/agreement/,https://inforiver.com/privacy-policy/,https://inforiver.com/contact-us/,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/xviz.inforiver-premium,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/inforiverAppPremium2B7A5FD2992D434DAE0B149479307B7B.3.3.1.0.pbiviz,inforiverAppPremium2B7A5FD2992D434DAE0B149479307B7B
Power BI User Activity Tracker,ALTORO CONSULTING GROUP SL,Analyze how users interact with reports published in Power BI Online,1.1.9.0,https://www.altoroanalytics.com/powerbi-visuals/license-agreement,https://www.altoroanalytics.com/powerbi-visuals/privacy-statement,https://www.altoroanalytics.com/powerbi-visuals/user-activity-tracker,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/altoroconsultinggroupsl1697013272211.powerbiusetracker,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/pbitrack9D9E18DCA2D64B1CA3581F42407D0AF7.1.1.9.0.pbiviz,pbitrack9D9E18DCA2D64B1CA3581F42407D0AF7
Quadrant Chart by MAQ Software,MAQ LLC,​Represent data in separate quadrants to show distribution and items that share common traits.,4.0.0.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://maqsoftware.com/privacystatement,https://maqsoftware.com/expertise/powerbi,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381011,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/quadrantChart1257AB39DB23121488AEB752BCB06127.4.0.0.0.pbiviz,quadrantChart1257AB39DB23121488AEB752BCB06127
Ratings by MAQ Software,MAQ LLC,​Indicate performance or approval scores within you Power BI reports.,4.0.0.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://maqsoftware.com/privacystatement,https://maqsoftware.com/expertise/powerbi,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381838,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13D.4.0.0.0.pbiviz,PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13D
Route map,Weiwei Cui,Visualize trajectories on a map,1.3.3.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://weiweicui.github.io/PowerBI-Routemap/privacy.html,https://weiweicui.github.io/PowerBI-Routemap/,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104380985,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/routemap863828C4992A473C9A5FB6A6B0EDF5DC.1.3.3.0.pbiviz,routemap863828C4992A473C9A5FB6A6B0EDF5DC
SCADAvis.io Synoptic Visual,DSC_Systems,Create SCADA-like free form graphics with absolute control.,1.0.2.0,https://go.microsoft.com/fwlink/?linkid=2041178,https://scadavis.io/powerbi/scadavis-custom-visual-privacy-policy.html,https://scadavis.io/powerbi/,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200000054,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/sCADAvisA1696DB7096B4CBBA3B7595D70A805AF.1.0.2.0.pbiviz,sCADAvisA1696DB7096B4CBBA3B7595D70A805AF
SPC Chart,North East Ambulance Service FT,Analyse process data over time,1.6.6.3,https://go.microsoft.com/fwlink/?linkid=2041178,https://github.com/hayleyNEAS/SPC-Custom-Visual/blob/master/PRIVACY.md,https://github.com/hayleyNEAS/SPC-Custom-Visual,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/astambulanceservicenhsfoundationtrust1706700337012.neas-spc,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/SPCCharte052449909264a3487139638376f9e72.1.6.6.3.pbiviz,SPCCharte052449909264a3487139638376f9e72
Tabulator,Tekvo.io,The Tabulator Custom Visual is a powerful tool to enhance your reports,1.0.0.8,https://go.microsoft.com/fwlink/?linkid=2041178,https://github.com/foxo-labs/Tabulator-PowerBI-Visual/blob/main/Privacy%20Policy.md,https://github.com/foxo-labs/Tabulator-PowerBI-Visual/blob/main/README.md,12/13/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/foxolabsopcpvtltd1698255416379.tabulator-custom-visual,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/tabulatorCustomVisual9E23E5BE3C3F45178EF73EA2FDFCDE97.1.0.0.8.pbiviz,tabulatorCustomVisual9E23E5BE3C3F45178EF73EA2FDFCDE97
