Custom Visual,Publisher,Description,GUID
Network Navigator,Microsoft (experimental),"This visual is experimental and not actively being developed, only major issues will be addressed. Network Navigator lets you explore node-link data by panning over and zooming into a force-directed node layout (which can be precomputed or animated live). From an initial overview of all nodes, you can use simple text search to enlarge matching nodes in ways that guide subsequent navigation. Network nodes can also be color-coded based on additional attributes of the dataset and filtered by linked visuals.",NetworkNavigator1550434005853
OrcaViz-Core-50 PowerBI Licenced Visualisation,Symilarity Ltd,OrcaViz - Spatial Visualisation and Analytics for PowerBi.,OrcaViz_Core_50_PowerBI_Licenced_Visualisation
OrcaViz Externally Licenced Visualisation Enterprise v2.2.1.0,Symilarity Ltd,OrcaViz - Spatial Visualisation and Analytics for PowerBi.,OrcaViz_Externally_Licenced_Visualisation_Enterprise_v2_1_0_0
OrcaViz PowerBI Licenced Visualisation Core v2.2.1.0,Symilarity Ltd,OrcaViz - Spatial Visualisation and Analytics for PowerBi.,OrcaViz_PowerBI_Licenced_Visualisation_Core_v2_1_0_0
OrcaViz-Premium-30k,Symilarity Ltd,OrcaViz - Spatial Visualisation and Analytics for PowerBi.,OrcaViz_Premium
OrcaViz-Starter-500,Symilarity Ltd,OrcaViz - Spatial Visualisation and Analytics for PowerBi.,OrcaViz_Starter
PAFnow Process Mining,Process Analytics Factory GmbH,Visualize various processes based on event logs,processMiningD4BFA18191D74FA5AEEEB307FC3EAED1
Synoptic Panel by OKViz,OKViz - a trademark of SQLBI,"Synoptic Panel by OKViz allows you to present one or more images (called maps, not necessarily geographical maps), assigning a meaning to arbitrary parts of them (called areas). You can highlight and color these areas dynamically and display several information over them. To design maps you can use a vector graphic editor or Synoptic Designer, a companion web tool located at https://synoptic.design/",PBI_CV_815282F9_27F5_4950_9430_E910E0A8DB6A
Pivot Slicer,Microsoft (experimental),"Pivot Slicer provides a unified 'list of lists' approach to viewing, navigating, and slicing data.",pivotSlicer41E30F8C22FE4E32A8D40848A54322CF
Forecasting,Microsoft,"<span>Time series forecasting is the use of a model to predict future values based on previously observed values. Current visual implements well known exponential smoothing method for the forecasting. The prediction is based on trend and seasonality modeling. You can control the algorithm parameters and the visual attributes to suit your needs.<br/><br/><span style='font-style:italic'>Service prerequisites:</span> R-powered custom visual is used in service seamlessly<br/><br /><span style='font-style:italic'>Desktop prerequisites:</span> To run R scripts in Power BI Desktop, you must separately install R on your local computer.<br />You can download and install R for free from the <a href='https://mran.revolutionanalytics.com/download/'>Revolution Open download page</a> or the <a href='https://cran.r-project.org/bin/windows/base/'>CRAN Repository</a><br /><br /> <span style='font-style:italic'> R package dependencies(auto-installed): </span> graphics, scales, forecast, zoo, ggplot2, htmlWidgets, XML, plotly  <br /><br /> <span style='font-style:italic'> Supports R versions: </span> R 3.3.1, R 3.3.0, R 3.4.1, MRO 3.3.1, MRO 3.3.0, MRO 3.2.2  <br /></span>",PBI_CV_8EDDC07B_EE79_4418_A84C_D73897C0E21F_HTML_work
Gantt Chart by Lingaro,Lingaro Sp. z o.o.,"Gantt chart is type of a bar chart visualization, which allows to track a schedule by different values, e.g. projects. The standard Gantt chart is quite limited and displays project, names, start and end dates. Lingaro improved Gantt chart in our custom visualization, and added more functionality to the powerful visualization.",powerBIGanttChartCertificationEDB15A648FAA4257A190BB4E1117FD58
ProcessChampion,Argent Logic Team,A visual which supports event log animation and process analysis,processChampion136745E546B94C03AEE4E144D2DEC49F
rainbowGauge,Microsoft,RainbowGauge enables 3 ranges and custom color coming from data,rainbowGauge7432AB718B46485EA1D4BD5A3116AD98
SCvation Flow Basic,SCvation GmbH,"Flow Chart for process analysis. With the analysis of existing processes, inefficiencies and potential for optimization can be found in the process. With the SCvation Flow Visual, these processes, process developments and the timing of events, actions or activities can be displayed. The events are arranged in the flow visualization according to the chronological sequence. The visualization calculates the number of runs of the cases or process instances and the average duration between the individual events and displays these as key figures in the visualization. The number of runs is also reflected in the line width of the transition.",scvationFlowBasic0A96D390481D4F8AB06B8214A21EC2F0
scvation_Gantt_Basic,SCvation GmbH,Gantt Chart for process analysis,scvationGanttBasicC5993D93B1E74FF0B5EDB3ECF70154DF
Seasonality Chart,Envarco Ltd,"Plot time-series data, identify patterns, and compare year-over-year trends with ease",seasonalityChart99EEE478065D4F99853120DEFFBC4A14
SPC t Chart,Cloud2 Ltd,t Chart,tChartEE3E86DF52C845F5B4CD9F45D6075E7B
SPC U Chart,Cloud2 Ltd,U Chart,UChartEE3E86DF52C845F5B4CD9F45D6075E7B
Stacked Insights - CloudServe Systems,CloudServe Systems Pvt Ltd,Stacked Column and Bar Chart by CloudServe Systems,StackedInsightsBI0F5F9D068B57455EB47C1F1664F829F6
Stacked Insights(New) - Cloudserve Systems Pvt Ltd,Cloudserve Systems Pvt Ltd,Stacked Column and Bar Chart by CloudServe Systems,stackedInsightsNewD2F1D9B5199D4D788831DEEAE6C667A8
Stacked Trends by Peopletree Knowledge Services,Peopletree Knowledge Services Pvt Ltd,Stacked Column and Bar Chart,stackedTrends380C6BD67FD645D6A130670FD2C331E8
Status Bar | Viz Data Ltd,Emma Saunders,"Beautiful visual, comparing status across your categories with traffic light system",status321CEDBC9371489AAF74CD8234407E15
Loro-Visuals.com Step Filter,Hannes Löhrmann,Custom Filter with Steps,stepFilter37ED63A0147043948E45A0646DF3214F
Stratagaia,Paul Hunter,Cutting edge Strategy forecasting application designed with input from former PWC Partner specifically for CFO,stratagaiaVisual7FF6B322E6D241968463978E1DF46A8L
Strippet Browser,Microsoft,"This visual is currently in beta testing and is undergoing active development. Strippet Browser displays document summaries with two options for level of detail. The outlines view (left) shows references to common entities across documents, while the thumbnails view (right) provides a preview of each document. Click a summary in either view to read the full document. Invoke highlighting using other components to see only documents that match. Strippet Browser is designed for use with Facet Key and Cluster Map.",StrippetBrowser16424341054522
swOrgChart,support@sharewinfo.com,组织架构图,swOrgChart17FBD5343987489AA69DE2FEC21F2AD9
Table Sorter,Microsoft (experimental),"This visual is experimental and not actively being developed, only major issues will be addressed. Table Sorter lets you create stacked table columns to explore how different combinations and weightings of numerical column values result in different rank orderings of table records. Column headings show the distribution of column values and support rapid re-sorting of table rows (which may also be filtered by linked visuals). Table Sorter is built on LineUp (http://caleydo.github.io/tools/lineup/).",TableSorter1450434005853
Stratada Task Board Standard Version,"Stratada, LLC","View your work in the Stratada Program Taskboard visual with color categories, icons and multiple data fields, showing data from one or multiple projects coming from any work management system",taskboard7A11309AC21042A28A78716F6638A2B0
Time Brush,Microsoft (experimental),"This visual is experimental and not actively being developed, only major issues will be addressed. Time Brush lets you filter a time-based dataset by directly dragging or brushing over a time period of interest. The initial display is a helpful overview that shows the frequency of items in each pre-defined time bucket (e.g., hours, days, years) as a vertical bar chart. Whenever you select a time period, any linked visuals are automatically filtered to display only those records with time attributes in the selected period.",TimeBrush1450434005853
Timeline Storyteller ver.2.0.5,Microsoft Corporation,"Timeline Storyteller is an expressive visual storytelling environment for presenting timelines. You can use Timeline Storyteller to present different aspects of your data using a palette of timeline representations, scales, and layouts, as well as controls for filtering, highlighting, and annotation. To learn more about the research performed at Microsoft Research that informed this project, see timelinesrevisited.github.io. This is an open source project released under a MIT license at https://github.com/Microsoft/timelinestoryteller.",TimelineStoryteller1652434605730
User Feedback Capture (by BI-Champ),CodeX Enterprises LLC,"This visual allows you to collect feedback from users (voting and text responses), which is aggregated in a way that can be reported against.",userfb06745683FE6D0A43B33A273EA41AE0EB
Zebra BI Tables,Zebra BI,"Stunning tables with charts. Perfect for sales or cost variance reporting, income statements, ...",variance8E4BB1B41A8942A7B897C7014A6E1F56
Vistogram® from Omnivisto®,Omnivisto®,Keep the big picture in view with Vistogram® from Omnivisto®.,vistogram0B398B567E3F4F139426071FD4BB8BC5
vizaecee83673c242,test,test,vizaecee83673c2426D4D7C1B2F824C9796C2860C4638885F
vizc17cd1f99ff14a,test,test,vizc17cd1f99ff14a3F228AB2CD494CCEAC72F34FD2C18BEA
vizca3710c6c06346,test,test,vizca3710c6c0634688ECBA793A774B10AC7FDF072B1118A5
Warning | Viz Data,Emma Saunders,Warning visual,warningEE3B04F338A8410A8B2A469D2BA413FD
WeWrite-Matrix-PreRelease,Solved,Writeback and planning in your favorite analytics tool has never been easier!,weWriteMatrixPreRelease3B61E90280E14C7ABB4F5A846544520B
WeWrite-Service,Solved,Writeback and planning in your favorite analytics tool has never been easier!,weWriteService1FE7F37473194F838E3D3E5F99AC1808
WeWrite Service,Solved,Writeback and planning in your favorite analytics tool has never been easier!,weWriteService1FE7F37473194F1273HIUH192321
WeWrite-Table-PreRelease,Solved,Writeback and planning in your favorite analytics tool has never been easier!,weWriteTablePreReleaseB9D21BABB05F45D6B3CD2DD68EF0DCBC
